block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40831443,0xa40d9caa5f7454abb1f2676801c98ce64107587c83c4cd9dd1d03b7c3396bc93,340,0x8d7c258036d905014891d1b798ccddbb8c107a33,277330,0.27733
40831454,0xb6b676b5aec60989c17a3457769bc8aad74a4eddffcf2fedcaea0dc117d13dd8,200,0xb276cc11fff221adcf325f76dc21623707ffd0de,110835,0.110835
40831470,0xf319fdcf7ed8d8f43a57724903068034948b245b10c5fcea0b202967d29f62bb,1698,0x4344107377080936e2fe7e2f8f95ddf31f2a1d9c,165756,0.165756
40831478,0xbbc2ff8107abb6a2d67509e9d59f96070a02881325696b321e7c32df52688bb8,354,0x49df3c6bed54bc73376c7c4a54e311a7bd36ac54,110590,0.11059
40831489,0x08effd06322fead6d320e5e5472ad50b214acd2c61543694d393551dae798230,1226,0xbf092cec658a3137e76228b14492f80d70f121d7,551822,0.551822
40831511,0xfc6ff4e38c80c433c61bcded08c244746fd098e8ab67f6cf21be90fff2e32d71,485,0x174a0e210f3061e98fc22e6a4fba9b2751dc10ab,557234,0.557234
40831522,0x1e3aa79e5c614e9d48f4dd875ed490958c6d1ed066c618c753ab4b602a4c2777,450,0x234db7f4cdb2f84784dc0a2ac4eb30a396b07671,500000,0.5
40835262,0x02dff20799c241010bf3720b2443260816213eb15939c6a9a6e096012050ac6e,15,0x4389e788b5892727c7b853560d8be1110469eeb0,201689,0.201689
40838489,0x32a0fd504f9b512673b8694df60af9b096cae2ff1b4903d1824bc358a026adf3,1172,0x5215461770809a456de83d5e7bb6c4d7e0134a8b,648670,0.64867
40843758,0xdb4cef867e5b3239f9fda22b3584fc88dc94cd9d12081b042768ac816612138e,40,0x83ab2d695fd1914c2de0a08a0e1d35cd6654ac56,100,0.0001
40846956,0x416dec34e3fe9677d1083affc66e088e1799dea889848e97acc5fde5b9864754,747,0x6eaf0b9b37c2819838d29c89f0ac115752039e5e,0,0.0
40847423,0x7be6de5bd91ac3764a0e8d55573aa150af74e3bf95b3e31b82448c2e62d376b3,489,0x06d26fd54e1f7d6ed720a52e954af8ca327aaaa6,1249,0.001249
40848342,0xeb430386ed3e3194aed5e2c0aa50bbff95490dd751c1a270013792e5f75d12af,636,0xd4afb5c5e7087a0c2127e04340b1b4b17a88f527,12,1.2e-05
40848821,0x479dc125184a73710fc6666335c92e79b962000162d3fb2997ea786acead1d0f,244,0x746bb7befd31d9052bb8eba7d5dd74c9acf54c6d,47975641,47.975641
40849709,0x8af06f7cd00a839126601ef6338239a67db9c8398ff104e6c849ca80dc377bdb,768,0xf55c6eb20ff6e71ad862e0adfddbb47abed75b78,2756724,2.756724
40850437,0x00ef83b3b3748610b1a5c19cbe819a2491558a9542c75398e470fad8a60cd7e4,726,0x5ec8cd4881eba87279f5f243eb89ea9383e677c6,64001,0.064001
40851926,0x6db549359ef208e1853070e08e263466481c3ae36a99a4811a9aabf7bc0177bd,369,0x01610139f055d560d81e6478a82c102b652eea3e,28751627,28.751627
40852497,0xcffb7233c81e57f7761190236894aa7fc7d8d6bb49717368957c81c463fb572f,851,0xf38694094ce64a2a8bcdce630f82e64ffe8f3660,71566500,71.5665
40852803,0x289aa391c39503e554002f7c7e61ae56276bbce15bde1dff511ef6d4c12c2830,550,0xab2c9470484f8841390017997743698fda1e4efc,43936,0.043936
40854199,0x4d3e101a591e592dbdbda6936ac8cf6c65bf446d7c83d11bb99ecaf77bb20a07,355,0x0dc902e11a61822f110842fa3d0ec094486d780d,1190222,1.190222
40855561,0x0d46245dae2ad594ca72f2372ac524dce057ac5e0c94d1e133491ff337ab8eb0,1035,0x0c67126bed7534eeb61149a8a67fa71d4ebf832d,8540,0.00854
40856124,0xfbaf8879abd152d2cdde80b4bb963f72eaf1b64b9efc67410a4a951e3d51be24,773,0xf3dbe1709348a59e78c333358aa8ee5c5ad67055,714934,0.714934
40861555,0xd6927b785473a8cd07cd73655ea044fefe133fb433efec8e15ff49aece5edbb0,399,0xb85879a3d3841823b9894d7b90aa07fd9be65bce,6891088,6.891088
